query_id,query,target_topic,expected_document_ids,notes,reviewed_by
RAG001,"Que documentos explican dano mecanico o rotura de semillas durante cosecha, manejo o transporte?",mechanical_damage,"DOC001;DOC004","Seed labels from corpus topics; term mechanical appears in DOC001 and DOC004 chunks. complete_relevance=false",
RAG002,"Como definen los estandares de soya los damaged kernels, splits y heat-damaged kernels?",mechanical_damage,DOC002,"US soybean standards define damaged kernels, splits and heat-damaged kernels on pages 2-3. complete_relevance=true",
RAG003,"Que evidencia relaciona cosecha, handling y dano mecanico con deterioro de calidad de semillas?",mechanical_damage,"DOC001;DOC004","DOC001 covers handling after collection and quality; DOC004 field book includes harvest-related seed issues. complete_relevance=false",
RAG004,"Que condiciones de secado, humedad y almacenamiento ayudan a mantener viabilidad de semillas ortodoxas?",storage,DOC001,"Genebank standards include drying, moisture, storage and viability monitoring. complete_relevance=false",
RAG005,"Donde se discuten seed longevity, temperatura, humedad y almacenamiento en bancos de germoplasma?",storage,DOC001,"Seed longevity and storage standards are concentrated in DOC001 chunks. complete_relevance=true",
RAG006,"Que fuente menciona clima calido y humedo, retraso de cosecha, semillas arrugadas y baja germinacion?",storage,DOC004,"Field Book chunk on infected pods mentions warm wet or humid weather, delayed harvest, wrinkled seed and poor germination. complete_relevance=true",
RAG007,"Que documentos tratan desecacion, secado y maduracion como factores de almacenamiento o calidad de semilla?",storage,"DOC001;DOC005","DOC001 covers orthodox seed drying/storage; DOC005 focuses on soybean maturation and desiccation. complete_relevance=false",
RAG008,"Que se debe considerar cuando hay semillas inmaduras despues de la colecta antes de pasar a condiciones controladas?",immaturity,DOC001,"DOC001 pages 31-32 mention immature seeds, embryo maturation and handling after collection. complete_relevance=false",
RAG009,"Que documento sobre soya trata maduracion, desecacion e inmadurez de semillas?",immaturity,DOC005,"Soybean maturation/desiccation document has repeated immature and desiccation matches. complete_relevance=true",
RAG010,"Que evidencia relaciona inmadurez con germinacion, vigor o secado de semillas de soya?",immaturity,"DOC001;DOC005","Expected documents have immature plus germination/drying/desiccation chunks. complete_relevance=false",
RAG011,"Que documento explica purple seed stain en soya y su relacion con Cercospora?",visible_spots,DOC003,"PLOS article title and chunks explicitly cover purple seed stain caused by Cercospora species. complete_relevance=true",
RAG012,"Como se define purple mottled or stained en los estandares oficiales de soya?",visible_spots,DOC002,"US soybean standards define purple mottled or stained on page 2 and special grade requirements on page 4. complete_relevance=true",
RAG013,"Que fuente describe decoloracion rosa a purpura en semillas infectadas de soya?",visible_spots,DOC003,"DOC003 page 2 describes infected seeds with pink to light or dark purple discoloration. complete_relevance=true",
RAG014,"Que documentos sirven para investigar manchas visibles o decoloraciones superficiales en semillas de soya?",visible_spots,"DOC002;DOC003","DOC002 covers purple mottled/stained grading; DOC003 covers purple seed stain. complete_relevance=false",
RAG015,"Que evidencia menciona grietas en la cubierta de la semilla o seed coat cracks?",damaged_seed_coat,DOC004,"Field Book page 85 mentions seed coat cracks in infected seed. complete_relevance=true",
RAG016,"Que estandar clasifica seedcoats negros o bicolores y otras clases de color en soya?",damaged_seed_coat,DOC002,"US soybean standards define classes based on yellow, green, black or bicolored seedcoats. complete_relevance=true",
RAG017,"Que documento explica imbibicion, absorcion de humedad y estructura de la cubierta o tejidos de la semilla de soya?",damaged_seed_coat,DOC006,"Soybean imbibition document has moisture uptake and seed coat matches. complete_relevance=true",
RAG018,"Que fuente resume calidad general como viabilidad, integridad genetica y semillas de alta calidad?",general_quality,DOC001,"Genebank standards discuss viability, genetic integrity and high quality seeds. complete_relevance=false",
RAG019,"Que documento contiene factores de grado como damaged kernels, foreign material, splits y test weight?",general_quality,DOC002,"US soybean standards provide grade factors and limits. complete_relevance=true",
RAG020,"Que evidencia conecta germinacion, vigor, stand establishment y calidad en semillas con manchas purpuras?",general_quality,DOC003,"DOC003 introduction links purple seed stain with reduced vigor, stand establishment and seed quality. complete_relevance=true",
