image_id,true_label,predicted_label,confidence,second_label,second_probability,quality_status,suspected_label_issue,reviewed_by,notes
val_0001_3f1772a2,broken,broken,0.504967,spotted,0.380941,ok,pending_human_review,,low_confidence;low_top1_top2_margin
val_0002_d9eda36f,broken,skin_damaged,0.500002,spotted,0.244735,warning:multiple_candidate_components,pending_human_review,,true_broken_predicted_other;low_confidence
val_0004_8ee826b6,broken,spotted,0.697193,immature,0.130789,warning:multiple_candidate_components,pending_human_review,,true_broken_predicted_other
val_0005_62d08203,broken,broken,0.44435,skin_damaged,0.261776,ok,pending_human_review,,low_confidence
val_0006_ee77c198,broken,spotted,0.594783,broken,0.297418,warning:multiple_candidate_components,pending_human_review,,true_broken_predicted_other;low_confidence
val_0007_2a7624a4,broken,immature,0.251869,skin_damaged,0.247119,ok,pending_human_review,,true_broken_predicted_other;low_confidence;low_top1_top2_margin
val_0008_e5a4dc2f,broken,spotted,0.372001,broken,0.368837,ok,pending_human_review,,true_broken_predicted_other;low_confidence;low_top1_top2_margin
val_0009_54d25253,broken,broken,0.504429,skin_damaged,0.404794,ok,pending_human_review,,low_confidence;low_top1_top2_margin
val_0011_34c606ce,broken,spotted,0.505926,broken,0.458103,ok,pending_human_review,,true_broken_predicted_other;low_confidence;low_top1_top2_margin
val_0013_e8553295,broken,broken,0.543684,skin_damaged,0.176321,ok,pending_human_review,,low_confidence
val_0014_700cbcdc,broken,skin_damaged,0.323751,spotted,0.283643,warning:multiple_candidate_components,pending_human_review,,true_broken_predicted_other;low_confidence;low_top1_top2_margin
val_0015_c971d84c,broken,broken,0.453066,skin_damaged,0.221742,ok,pending_human_review,,low_confidence
val_0016_503231ca,broken,broken,0.501736,spotted,0.299091,ok,pending_human_review,,low_confidence
val_0019_053f5e38,broken,spotted,0.861386,broken,0.11387,ok,pending_human_review,,true_broken_predicted_other
val_0020_47781a98,broken,spotted,0.489471,broken,0.366926,ok,pending_human_review,,true_broken_predicted_other;low_confidence;low_top1_top2_margin
val_0021_12cbe142,broken,spotted,0.70883,broken,0.221998,ok,pending_human_review,,true_broken_predicted_other
val_0022_649f4ead,broken,immature,0.323284,broken,0.316922,warning:multiple_candidate_components,pending_human_review,,true_broken_predicted_other;low_confidence;low_top1_top2_margin
val_0023_88912d4f,broken,broken,0.313924,spotted,0.285923,ok,pending_human_review,,low_confidence;low_top1_top2_margin
val_0025_90c537b8,broken,broken,0.347696,spotted,0.306592,warning:multiple_candidate_components,pending_human_review,,low_confidence;low_top1_top2_margin
val_0026_35034a8f,broken,broken,0.296062,spotted,0.274087,ok,pending_human_review,,low_confidence;low_top1_top2_margin
val_0027_4714474c,broken,skin_damaged,0.456732,broken,0.454899,warning:possible_blur,pending_human_review,,true_broken_predicted_other;low_confidence;low_top1_top2_margin
val_0028_d639dc79,broken,spotted,0.821206,broken,0.142033,ok,pending_human_review,,true_broken_predicted_other
val_0029_dadcc687,broken,spotted,0.445165,immature,0.23071,ok,pending_human_review,,true_broken_predicted_other;low_confidence
val_0030_3434e8e6,broken,broken,0.446225,spotted,0.426043,ok,pending_human_review,,low_confidence;low_top1_top2_margin
val_0031_08b6066e,broken,spotted,0.568938,broken,0.366614,ok,pending_human_review,,true_broken_predicted_other;low_confidence
val_0032_2252038b,broken,broken,0.537389,spotted,0.432399,ok,pending_human_review,,low_confidence;low_top1_top2_margin
val_0033_24dda08b,broken,skin_damaged,0.421955,broken,0.358841,ok,pending_human_review,,true_broken_predicted_other;low_confidence;low_top1_top2_margin
val_0036_0a09f6a3,broken,broken,0.579473,skin_damaged,0.319225,ok,pending_human_review,,low_confidence
val_0037_2b15c871,broken,skin_damaged,0.320858,broken,0.248753,warning:multiple_candidate_components,pending_human_review,,true_broken_predicted_other;low_confidence;low_top1_top2_margin
val_0038_c4f10fb3,broken,immature,0.322034,broken,0.301954,ok,pending_human_review,,true_broken_predicted_other;low_confidence;low_top1_top2_margin
val_0042_7accb5ee,broken,skin_damaged,0.328043,broken,0.234181,ok,pending_human_review,,true_broken_predicted_other;low_confidence;low_top1_top2_margin
val_0045_2b09dd72,broken,spotted,0.782347,broken,0.201205,ok,pending_human_review,,true_broken_predicted_other
val_0046_efc00b24,broken,broken,0.588345,spotted,0.242363,ok,pending_human_review,,low_confidence
val_0047_4ff6405c,broken,spotted,0.815958,broken,0.160409,warning:multiple_candidate_components,pending_human_review,,true_broken_predicted_other
val_0049_0a158b52,broken,broken,0.545408,spotted,0.350783,warning:possible_blur;multiple_candidate_components,pending_human_review,,low_confidence
val_0050_ad576f3c,broken,skin_damaged,0.33391,broken,0.307131,ok,pending_human_review,,true_broken_predicted_other;low_confidence;low_top1_top2_margin
val_0051_3a987eca,broken,spotted,0.399225,skin_damaged,0.333717,ok,pending_human_review,,true_broken_predicted_other;low_confidence;low_top1_top2_margin
val_0052_a41418c1,broken,spotted,0.734112,broken,0.229822,warning:multiple_candidate_components,pending_human_review,,true_broken_predicted_other
val_0053_cd346378,broken,spotted,0.335555,broken,0.286329,ok,pending_human_review,,true_broken_predicted_other;low_confidence;low_top1_top2_margin
val_0054_b9921cfa,broken,immature,0.291771,spotted,0.269811,ok,pending_human_review,,true_broken_predicted_other;low_confidence;low_top1_top2_margin
val_0055_15ee862d,broken,spotted,0.711897,broken,0.253818,warning:multiple_candidate_components,pending_human_review,,true_broken_predicted_other
